ticker,quarter,logret_q,logret_q_lag,yearmonth,inception,lend_byAUM_bps,index_id,mer_bps,spread_bps_crsp,log_volume,tr_error_bps,perf_drag_bps,turnover_frac,d_UIT,mkt_share,marketing_fee_bps,aum,cum_mktg_expense
AAXJ,20161,0.022585188,0.029059223,20163,13/08/2008,2.367708451,Asia ex Japan,69,2.822117912,17.46848401,31.96830201,3.782173138,4.196199164,0,1,0,2315642727,0
AAXJ,20162,0.007097861,0.022585188,20166,13/08/2008,2.367708451,Asia ex Japan,69,2.372333053,17.6055592,38.95584997,0.093222354,5.178787024,0,1,0,2171242636,0
AAXJ,20163,0.101475877,0.007097861,20169,13/08/2008,2.367708451,Asia ex Japan,69,2.378538603,18.14857683,33.5341344,0.528555059,6.948153074,0,1,0,2771710571,0
AAXJ,20164,-0.085301626,0.101475877,201612,13/08/2008,2.367708451,Asia ex Japan,72,2.12690354,18.32649889,30.18298425,-4.167746532,8.328403799,0,1,0,2752234095,0
AAXJ,20171,0.136122244,-0.085301626,20173,13/08/2008,2.367708451,Asia ex Japan,72,2.549746789,18.01215508,24.4199177,0.882970666,6.178249748,0,1,0,2698217455,0
AAXJ,20172,0.073458075,0.136122244,20176,13/08/2008,2.367708451,Asia ex Japan,69,2.285498966,18.17098364,26.83950037,-0.842907562,5.444708341,0,1,0,3596950000,0
AAXJ,20173,0.068330433,0.073458075,20179,13/08/2008,2.367708451,Asia ex Japan,69,1.864269291,17.99918065,20.3351701,-2.045737667,3.906124859,0,1,0,4241145700,0
AAXJ,20174,0.071114748,0.068330433,201712,13/08/2008,2.367708451,Asia ex Japan,69,1.594397378,18.47444988,26.70534726,-2.691988481,5.684104676,0,1,0,4710024000,0
AAXJ,20181,0.016254177,0.071114748,20183,13/08/2008,2.367708451,Asia ex Japan,69,2.744785346,18.10052482,33.38518996,1.638694834,3.672696239,0,0.998069994,0,4984754762,0
AAXJ,20182,-0.073055169,0.016254177,20186,13/08/2008,2.367708451,Asia ex Japan,69,2.78189293,18.21259263,27.48919617,-3.88974673,4.402192255,0,0.996009892,0,4631026667,0
AAXJ,20183,-0.014900472,-0.073055169,20189,13/08/2008,2.367708451,Asia ex Japan,69,2.561801343,18.38519605,24.16435861,-1.298299085,5.99361595,0,0.995665359,0,3978119158,0
AAXJ,20184,-0.091237634,-0.014900472,201812,13/08/2008,2.367708451,Asia ex Japan,69,4.575850023,18.67056576,39.79299814,-5.683961482,8.139544801,0,0.996001619,0,3994119684,0
AAXJ,20191,0.106791885,-0.091237634,20193,13/08/2008,2.367708451,Asia ex Japan,69,2.453381984,18.24895918,25.54076681,-0.651462892,4.740877038,0,0.996153476,0,4487633238,0
AAXJ,20192,-0.006626468,0.106791885,20196,13/08/2008,2.367708451,Asia ex Japan,69,3.903079798,18.1221742,25.9564627,-0.927317836,4.639395963,0,0.995831982,0,4016200747,0
AAXJ,20193,-0.050999222,-0.006626468,20199,13/08/2008,2.367708451,Asia ex Japan,69,3.190363379,18.31504051,19.94351385,-0.800779707,6.156220911,0,0.995517474,0,3695832198,0
AAXJ,20194,0.115659911,-0.050999222,201912,13/08/2008,2.367708451,Asia ex Japan,68.71428571,3.900108448,18.01535019,26.54493159,-1.406652087,4.182352631,0,0.99563051,0,4026865289,0
