v1,ticker,quarter,logret_q,logret_q_lag,yearmonth,inception,lend_byaum_bps,index_id,mer_bps,spread_bps_crsp,log_volume,tr_error_bps,perf_drag_bps,turnover_frac,d_uit,mkt_share,marketing_fee_bps,aum,cum_mktg_expense,d_sameind,log_profit,d_ownindex,marketing_expense,inception_q,quarter_decimal,inc_quarter_decimal,time_existence,quarters_in_sample,etf_per_index,uniquevals,rank_fee,highfee,rank_spread,highspread,rank_inception,firstmover,us_index,issuer,description,primary_benchmark,tax_classification,is_etn,asset_class,category,is_levered,is_active,creation_fee,other_expenses,total_expenses,fee_waivers,net_expenses,lead_market_maker,mgr_duration,mgr_duration_tii,mgr_duration_tsi,time_since_first,ratio_tii,ratio_tra,mgr_duration_index,ratio_tra_ix,aum_index,log_aum_index,log_aum,stock_tweets,sum_of_replies,sum_of_likes,stock_tweets_raw,qduration,same_benchmark,same_lead_mm,qs_dollar_tw,qs_percent_tw,es_dollar_ave,es_percent_ave,rs_dollar_ave,rs_percent_ave,pi_dollar_ave,pi_percent_ave,es_dollar_dw,es_dollar_sw,es_percent_dw,es_percent_sw,rs_dollar_sw,rs_dollar_dw,rs_percent_sw,rs_percent_dw,pi_dollar_sw,pi_dollar_dw,pi_percent_sw,pi_percent_dw
0,ACWI,20161,.0042903181,-.048123699,20163,2008-03-26,.77006507,All World,33,1.8164898,18.436188,33.516964,10.065429,4.7267828,0,.49776882,0,5409570476,0,0,16.69760272168848,0,0,20081,2016,2008,8,20,2,2,2,1,1,0,2,1,0,Blackrock,iShares MSCI ACWI,MSCI ACWI NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.33000001,0,.33000001,Susquehanna,2.4135532,4.4239259,6.5930595,-.0095856562,82.08429,.48445359,4.0898976,.11802953,10867635976,23.109055,22.41143553219818,-.076869339,.020408163,.46938777,1.755102,2,0,0,.010156172,.00019190565,.0094099604,.00017789495,.0008001661,.000014533987,.0086096572,.00016335853,.012972517,.012969733,.00024563607,.00024558802,.0057011461,.0056883511,.00010779601,.00010755281,.00727465,.0072902259,.00013790665,.00013819781
1,ACWI,20162,.016139431,.0042903181,20166,2008-03-26,.77006507,All World,33,1.773243,18.546186,51.596634,-.030932052,5.2393126,0,.49875316,0,5505837818,0,0,16.715241977220213,0,0,20081,2016.25,2008,8.25,20,2,2,2,1,1,0,2,1,0,Blackrock,iShares MSCI ACWI ETF,MSCI ACWI NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.33000001,0,.33000001,Susquehanna,5.7985034,6.0429692,6.2247396,.44713145,97.898575,,5.0061016,.15149505,11039204043,23.12472,22.429074787729917,-.077177763,0,.01754386,1.6315789,5,0,0,.010105283,.00017914202,.0093302345,.00016545402,.0002078922,3.6861913e-06,.0091258492,.00016182874,.012003833,.012006688,.00021295008,.00021300183,.0017275386,.0017225684,.000030850915,.00003076113,.010296402,.010298504,.00018245139,.00018248915
2,ACWI,20163,.049780503,.016139431,20169,2008-03-26,.77006507,All World,33,1.7027026,18.557751,44.596882,5.1984715,5.265574,0,.47230411,0,5464569524,0,0,16.707718375337834,0,0,20081,2016.5,2008,8.5,20,2,2,2,1,1,0,2,1,0,Blackrock,iShares MSCI ACWI ETF,MSCI ACWI NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.33000001,0,.33000001,Susquehanna,3.5242028,4.2157946,5.004416,.38220453,73.71904,.10105583,4.1971517,.34410805,11570023602,23.171684,22.421551185847537,-.076634742,.075471699,.24528302,1.8490566,3,0,0,.010082669,.00017299532,.0087795584,.00015068808,.0018078632,.000030990665,.0069730245,.00011971947,.011460537,.011459738,.0001966915,.00019667874,.0044663106,.004466624,.00007655059,.000076556069,.0069996393,.0070001204,.00012023415,.00012024141
3,ACWI,20164,.010450091,.049780503,201612,2008-03-26,.77006507,All World,33,1.6001714,18.822971,30.256863,-6.315989,6.4328198,0,.47559795,0,5708541905,0,0,16.751396659351578,0,0,20081,2016.75,2008,8.75,20,2,2,2,1,1,0,2,1,0,Blackrock,iShares MSCI ACWI ETF,MSCI ACWI NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.33000001,0,.33000001,Susquehanna,4.4205842,4.8511744,4.593163,.11383561,92.446861,.049730711,4.5302119,.19623972,12002873346,23.208412,22.46522946986128,-.075425558,0,.47058824,2.3333333,4,0,0,.012832304,.00021888826,.0086767077,.00014790311,.0028594167,.000048622482,.0058205733,.000099335673,.012574473,.012575772,.00021455414,.00021457726,.0099637844,.0099647306,.00017014475,.00017015998,.0026272191,.0026249762,.000044689565,.000044651239
4,ACWI,20171,.066838562,.010450091,20173,2008-03-26,.77006507,All World,33,1.7238801,18.683966,24.725698,2.2709191,5.0514965,0,.48638228,0,6487153739,0,0,16.879256899939747,0,0,20081,2017,2008,9,20,2,2,2,1,1,0,2,1,0,Blackrock,iShares MSCI ACWI ETF,MSCI ACWI NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.33000001,0,.33000001,Susquehanna,3.659915,3.9392903,5.7467175,.62737411,98.709427,.36621618,4.1858449,.26709288,13337562030,23.31385,22.59308971044945,-.074330427,.2631579,.54385966,2.7719297,4,0,0,.010074873,.00016286426,.0081656314,.00013199257,.0021093031,.000034028795,.0060566231,.00009796871,.012043952,.012053458,.00019542658,.0001955831,.0063132197,.0063035749,.00010255951,.00010240102,.0057478282,.0057479432,.000093148112,.000093149662
5,ACWI,20172,.045774728,.066838562,20176,2008-03-26,.77006507,All World,32,1.5841987,18.748577,36.326668,-1.4818753,5.1044054,0,.44835758,0,6853583818,0,0,16.903433068339965,0,0,20081,2017.25,2008,9.25,20,2,2,2,1,2,1,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,4.5698333,4.8921976,4.3007784,.48498034,97.813904,.036560066,4.4628887,.19008137,15285976940,23.450201,22.648037537516423,-.074982844,.14893617,.4893617,2.5106382,5,0,0,.010063897,.00015511688,.007954523,.00012265313,.00163232,.000025076008,.0063219718,.000097573444,.010060214,.010060936,.00015492523,.0001549367,.0030384336,.0030368697,.000046843987,.000046819696,.0070254896,.0070263189,.00010813738,.00010814998
6,ACWI,20173,.049596939,.045774728,20179,2008-03-26,.77006507,All World,32,1.5380108,18.594271,17.146725,-1.5090399,3.8778067,0,.45894903,0,7716443500,0,0,17.0220149391295,0,0,20081,2017.5,2008,9.5,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,2.7480721,2.8347208,5.5047359,.33528328,97.63755,.41078371,3.8111508,.26281622,16813290879,23.545435,22.766619408305957,-.076095015,.15217391,.5,2.0652175,2,0,0,.04519077,.00068935996,.0079283305,.00011796985,.0024688737,.000036631453,.0054480648,.000081165846,.011020515,.011018627,.00016409141,.00016406344,.0064669577,.0064700777,.000096263459,.000096310127,.0045383605,.0045371493,.000067597015,.000067578636
7,ACWI,20174,.055709369,.049596939,201712,2008-03-26,.77006507,All World,32,1.3935324,19.033009,28.081499,-2.4860234,5.3750157,0,.45838508,0,8700056526,0,0,17.141990890650764,0,0,20081,2017.75,2008,9.75,20,2,2,2,1,2,1,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,3.4383814,3.0882778,4.4514451,.097336829,76.097763,.16948745,3.3010073,.16584875,18979798032,23.666641,22.886595359827222,-.075658597,.16,.74000001,2.24,3,0,0,.01156475,.00016334545,.0079934802,.00011301801,.0025049285,.000035411642,.0054906486,.000077635705,.011318369,.011317916,.00015977382,.00015976772,.0058595897,.0058616553,.000082730672,.000082759609,.0054690167,.0054674079,.000077188131,.000077165365
8,ACWI,20181,-.0054245908,.055709369,20183,2008-03-26,.77006507,All World,32,1.4455336,18.950743,43.416393,5.3385272,5.0418658,0,.41761392,0,8527428476,0,0,17.121949215593084,0,0,20081,2018,2008,10,20,2,2,2,1,2,1,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,2.5650423,2.2097576,3.7354739,.41037211,82.637886,.27419868,2.1737218,.22211656,20419405889,23.739752,22.86655368476954,-.075326808,.033898305,.779661,2.3728814,2,0,0,.010254811,.00013921062,.0086447764,.00011746283,.00024792939,2.9699345e-06,.0083976928,.00011450458,.013570754,.013563536,.00018450366,.0001844099,.0052781226,.0052829669,.000071793016,.000071853574,.0082945619,.0082969423,.00011274101,.0001127743
9,ACWI,20182,.0029471531,-.0054245908,20186,2008-03-26,.77006507,All World,32,1.3756801,18.957289,31.912664,-7.1208925,4.9873796,0,.41570199,0,8662302476,0,0,17.13764192983264,0,0,20081,2018.25,2008,10.25,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,2.6769075,2.1126988,4.7165351,.62939614,80.791611,.22754373,2.3260214,.21783426,20837770210,23.760033,22.882246399009098,-.075975187,.16981132,.90566039,2.1132076,2,0,0,.01013996,.000139829,.0084484611,.00011656786,.00013372343,1.8159375e-06,.0083136046,.00011473632,.010497574,.010498641,.00014476267,.00014477827,.0045839828,.0045758453,.000063545638,.000063431165,.0059184534,.0059255301,.000081285085,.000081384052
